"the","and","for","have","that","they","this","you","not","but","good","with","the_ratios","and_ratios","for_ratios","have_ratios","that_ratios","they_ratios","this_ratios","you_ratios","not_ratios","but_ratios","good_ratios","with_ratios"
1,1,0,1,0,1,0,2,0,0,0,0,0.012,0.012,0,0.012,0,0.012,0,0.025,0,0,0,0
2,2,0,0,0,0,0,3,0,0,0,1,0.024,0.024,0,0,0,0,0,0.036,0,0,0,0.012
2,4,0,0,0,0,0,0,0,0,0,0,0.034,0.069,0,0,0,0,0,0,0,0,0,0
17,12,6,3,5,4,2,0,0,2,1,4,0.046,0.033,0.016,0.008,0.014,0.011,0.005,0,0,0.005,0.003,0.011
1,2,0,1,0,0,1,2,0,0,0,0,0.016,0.032,0,0.016,0,0,0.016,0.032,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0.033,0,0.033,0.033,0,0,0.033,0,0,0,0,0
1,2,0,1,1,0,1,0,0,0,0,0,0.019,0.037,0,0.019,0.019,0,0.019,0,0,0,0,0
19,10,2,1,1,1,1,6,0,1,1,1,0.071,0.037,0.007,0.004,0.004,0.004,0.004,0.022,0,0.004,0.004,0.004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1,2,0,0,0,0,0,0,0,3,0.034,0.056,0.011,0.022,0,0,0,0,0,0,0,0.034
1,0,1,0,1,0,1,0,0,1,0,0,0.029,0,0.029,0,0.029,0,0.029,0,0,0.029,0,0
0,3,0,1,0,0,0,1,0,0,0,1,0,0.094,0,0.031,0,0,0,0.031,0,0,0,0.031
2,2,0,0,0,1,0,0,0,0,0,0,0.083,0.083,0,0,0,0.042,0,0,0,0,0,0
2,2,0,0,0,0,0,1,0,0,0,0,0.051,0.051,0,0,0,0,0,0.026,0,0,0,0
4,11,6,4,0,5,0,0,0,1,0,2,0.025,0.067,0.037,0.025,0,0.031,0,0,0,0.006,0,0.012
4,6,0,0,1,0,2,0,0,1,0,0,0.039,0.059,0,0,0.01,0,0.02,0,0,0.01,0,0
1,4,1,1,0,0,0,2,1,0,0,1,0.015,0.059,0.015,0.015,0,0,0,0.029,0.015,0,0,0.015
4,3,1,4,1,0,0,0,1,2,0,4,0.032,0.024,0.008,0.032,0.008,0,0,0,0.008,0.016,0,0.032
14,8,2,2,3,2,2,4,2,1,0,1,0.043,0.024,0.006,0.006,0.009,0.006,0.006,0.012,0.006,0.003,0,0.003
1,2,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,2,0,0,0,0,0,0.039,0.078,0,0,0,0,0.039,0,0,0,0,0
2,2,1,1,0,0,0,0,1,0,0,2,0.034,0.034,0.017,0.017,0,0,0,0,0.017,0,0,0.034
13,12,1,1,3,2,1,11,1,0,0,3,0.05,0.047,0.004,0.004,0.012,0.008,0.004,0.043,0.004,0,0,0.012
0,3,3,1,0,0,0,0,0,0,0,0,0,0.062,0.062,0.021,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1,0.143,0.048,0,0,0,0,0,0,0,0,0,0.048
0,0,1,2,0,0,0,0,0,0,0,2,0,0,0.015,0.03,0,0,0,0,0,0,0,0.03
1,0,1,0,0,1,0,0,0,0,0,0,0.045,0,0.045,0,0,0.045,0,0,0,0,0,0
0,2,2,0,1,0,0,0,0,0,0,0,0,0.044,0.044,0,0.022,0,0,0,0,0,0,0
1,4,0,0,0,1,0,2,0,0,0,0,0.014,0.056,0,0,0,0.014,0,0.028,0,0,0,0
1,2,1,0,0,0,1,0,0,0,0,1,0.021,0.043,0.021,0,0,0,0.021,0,0,0,0,0.021
1,3,1,0,0,0,0,0,0,0,0,0,0.022,0.067,0.022,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,2,0,0.027,0,0,0,0,0.027,0,0,0,0,0.054
1,6,1,1,1,1,1,0,0,0,0,0,0.012,0.073,0.012,0.012,0.012,0.012,0.012,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,2,0,0.091,0,0,0,0,0,0,0,0,0,0.091
3,1,0,0,0,0,0,0,0,0,0,1,0.143,0.048,0,0,0,0,0,0,0,0,0,0.048
6,3,1,2,0,2,0,2,0,1,0,1,0.056,0.028,0.009,0.019,0,0.019,0,0.019,0,0.009,0,0.009
1,1,0,0,0,0,0,0,0,0,0,0,0.059,0.059,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0.091,0.091,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,1,0,2,0,0,0.018,0.018,0,0,0,0,0,0.009,0,0.018,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0
7,6,2,0,0,0,2,0,3,1,0,1,0.032,0.027,0.009,0,0,0,0.009,0,0.014,0.005,0,0.005
5,7,2,0,0,0,0,0,0,3,0,0,0.035,0.049,0.014,0,0,0,0,0,0,0.021,0,0
5,6,1,1,0,1,1,0,0,0,0,2,0.053,0.063,0.011,0.011,0,0.011,0.011,0,0,0,0,0.021
0,1,2,1,0,0,1,0,0,0,0,0,0,0.05,0.1,0.05,0,0,0.05,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,0.053,0,0.053,0.053,0,0,0,0,0,0,0,0.053
3,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0
2,5,1,0,0,1,2,1,0,0,0,2,0.017,0.041,0.008,0,0,0.008,0.017,0.008,0,0,0,0.017
2,0,0,1,0,0,1,1,0,0,0,0,0.08,0,0,0.04,0,0,0.04,0.04,0,0,0,0
7,7,2,0,0,1,0,1,0,0,0,1,0.05,0.05,0.014,0,0,0.007,0,0.007,0,0,0,0.007
1,1,1,0,0,0,1,0,0,0,0,1,0.016,0.016,0.016,0,0,0,0.016,0,0,0,0,0.016
0,6,0,0,0,1,1,0,0,0,0,0,0,0.162,0,0,0,0.027,0.027,0,0,0,0,0
15,5,3,4,4,3,1,2,1,1,2,0,0.055,0.018,0.011,0.015,0.015,0.011,0.004,0.007,0.004,0.004,0.007,0
1,1,0,0,1,0,0,0,0,0,0,1,0.048,0.048,0,0,0.048,0,0,0,0,0,0,0.048
2,2,0,0,0,2,0,0,0,0,0,0,0.033,0.033,0,0,0,0.033,0,0,0,0,0,0
2,3,1,0,0,0,0,0,0,0,0,0,0.053,0.079,0.026,0,0,0,0,0,0,0,0,0
0,2,2,3,1,0,0,0,1,2,0,0,0,0.028,0.028,0.042,0.014,0,0,0,0.014,0.028,0,0
9,14,4,2,2,3,2,2,2,3,0,1,0.026,0.041,0.012,0.006,0.006,0.009,0.006,0.006,0.006,0.009,0,0.003
1,0,0,1,0,1,1,0,0,0,0,0,0.023,0,0,0.023,0,0.023,0.023,0,0,0,0,0
1,2,0,1,0,0,0,1,0,0,0,0,0.028,0.056,0,0.028,0,0,0,0.028,0,0,0,0
7,7,2,1,3,0,3,2,0,1,0,2,0.031,0.031,0.009,0.004,0.013,0,0.013,0.009,0,0.004,0,0.009
0,1,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,0,0,0,0,0,0.043,0,0,0.022,0,0.022,0,0,0,0,0,0
1,2,1,0,0,0,1,0,0,0,0,1,0.021,0.043,0.021,0,0,0,0.021,0,0,0,0,0.021
2,2,0,2,0,0,1,0,0,0,0,0,0.049,0.049,0,0.049,0,0,0.024,0,0,0,0,0
1,1,0,0,0,0,0,1,1,1,0,0,0.026,0.026,0,0,0,0,0,0.026,0.026,0.026,0,0
3,6,0,0,1,4,0,2,1,0,0,0,0.037,0.073,0,0,0.012,0.049,0,0.024,0.012,0,0,0
3,3,0,2,0,2,0,0,0,2,0,1,0.026,0.026,0,0.017,0,0.017,0,0,0,0.017,0,0.009
5,6,3,3,0,2,0,0,0,0,0,0,0.034,0.041,0.02,0.02,0,0.014,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0
2,3,1,0,2,1,3,0,0,0,0,2,0.02,0.031,0.01,0,0.02,0.01,0.031,0,0,0,0,0.02
7,10,2,2,0,0,1,0,1,0,0,0,0.032,0.046,0.009,0.009,0,0,0.005,0,0.005,0,0,0
3,11,3,1,0,0,0,4,0,1,0,2,0.019,0.068,0.019,0.006,0,0,0,0.025,0,0.006,0,0.012
2,1,0,0,0,0,0,0,0,0,0,0,0.069,0.034,0,0,0,0,0,0,0,0,0,0
7,6,2,0,0,0,2,0,3,1,0,1,0.032,0.027,0.009,0,0,0,0.009,0,0.014,0.005,0,0.005
4,3,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0,0,0,0,0,0,0,0,0,0
3,3,2,0,0,2,0,1,0,0,0,0,0.036,0.036,0.024,0,0,0.024,0,0.012,0,0,0,0
3,5,0,2,1,0,0,1,1,0,0,0,0.038,0.063,0,0.025,0.013,0,0,0.013,0.013,0,0,0
2,6,1,0,2,0,0,1,0,1,0,0,0.016,0.048,0.008,0,0.016,0,0,0.008,0,0.008,0,0
1,3,0,0,1,1,0,2,0,1,0,0,0.014,0.042,0,0,0.014,0.014,0,0.028,0,0.014,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0
6,10,3,0,1,1,1,1,0,0,0,2,0.031,0.052,0.016,0,0.005,0.005,0.005,0.005,0,0,0,0.01
4,6,0,1,1,0,1,0,0,1,1,1,0.046,0.069,0,0.011,0.011,0,0.011,0,0,0.011,0.011,0.011
1,3,1,0,0,0,2,0,0,0,0,0,0.023,0.068,0.023,0,0,0,0.045,0,0,0,0,0
5,4,3,0,3,1,0,0,1,1,0,0,0.032,0.026,0.019,0,0.019,0.006,0,0,0.006,0.006,0,0
0,2,1,1,0,0,0,0,0,0,0,0,0,0.051,0.026,0.026,0,0,0,0,0,0,0,0
7,6,2,0,0,0,2,0,3,1,0,1,0.032,0.027,0.009,0,0,0,0.009,0,0.014,0.005,0,0.005
6,6,2,0,0,1,0,1,1,0,0,3,0.054,0.054,0.018,0,0,0.009,0,0.009,0.009,0,0,0.027
2,6,4,1,1,0,0,0,0,0,0,0,0.02,0.059,0.039,0.01,0.01,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0.08,0.08,0.04,0,0,0,0,0,0,0,0,0
0,3,0,2,0,0,0,0,1,0,0,1,0,0.06,0,0.04,0,0,0,0,0.02,0,0,0.02
2,4,3,0,0,0,0,0,0,0,0,1,0.035,0.07,0.053,0,0,0,0,0,0,0,0,0.018
1,3,0,2,0,0,0,1,0,0,0,0,0.018,0.055,0,0.036,0,0,0,0.018,0,0,0,0
12,7,2,0,5,6,2,0,3,2,2,0,0.04,0.023,0.007,0,0.017,0.02,0.007,0,0.01,0.007,0.007,0
7,1,0,1,1,2,2,0,1,1,0,1,0.036,0.005,0,0.005,0.005,0.01,0.01,0,0.005,0.005,0,0.005
3,3,0,0,0,3,0,0,0,0,0,2,0.022,0.022,0,0,0,0.022,0,0,0,0,0,0.015
2,6,0,3,1,2,0,0,0,0,0,0,0.024,0.071,0,0.036,0.012,0.024,0,0,0,0,0,0
2,2,1,0,0,1,1,0,0,0,0,2,0.027,0.027,0.014,0,0,0.014,0.014,0,0,0,0,0.027
0,2,2,1,0,1,2,0,0,1,0,1,0,0.02,0.02,0.01,0,0.01,0.02,0,0,0.01,0,0.01
4,4,1,2,0,0,1,0,0,1,0,1,0.045,0.045,0.011,0.022,0,0,0.011,0,0,0.011,0,0.011
3,3,0,2,0,1,0,1,0,0,1,0,0.035,0.035,0,0.023,0,0.012,0,0.012,0,0,0.012,0
0,5,0,1,0,2,1,0,0,0,0,1,0,0.082,0,0.016,0,0.033,0.016,0,0,0,0,0.016
2,4,3,2,0,1,0,0,0,0,0,0,0.026,0.053,0.039,0.026,0,0.013,0,0,0,0,0,0
2,3,2,0,0,0,1,0,0,0,0,1,0.027,0.04,0.027,0,0,0,0.013,0,0,0,0,0.013
2,3,0,0,0,0,0,0,0,0,0,0,0.037,0.056,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.037,0,0,0.037,0,0.037,0,0,0
1,1,0,0,0,0,0,0,0,2,1,0,0.017,0.017,0,0,0,0,0,0,0,0.034,0.017,0
0,3,1,0,2,0,0,0,0,0,0,1,0,0.058,0.019,0,0.038,0,0,0,0,0,0,0.019
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0
1,3,0,0,0,0,0,0,0,0,0,0,0.023,0.068,0,0,0,0,0,0,0,0,0,0
1,5,2,2,1,0,0,0,0,0,0,0,0.012,0.061,0.024,0.024,0.012,0,0,0,0,0,0,0
2,1,0,0,1,1,1,0,0,3,0,1,0.034,0.017,0,0,0.017,0.017,0.017,0,0,0.052,0,0.017
5,7,3,2,1,0,0,0,0,0,0,0,0.034,0.048,0.021,0.014,0.007,0,0,0,0,0,0,0
6,5,2,0,0,3,1,1,0,0,0,0,0.056,0.046,0.019,0,0,0.028,0.009,0.009,0,0,0,0
3,2,1,0,0,0,0,0,0,0,1,2,0.039,0.026,0.013,0,0,0,0,0,0,0,0.013,0.026
0,1,0,0,0,1,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0
3,5,1,1,0,0,0,0,0,0,0,0,0.045,0.075,0.015,0.015,0,0,0,0,0,0,0,0
3,6,0,1,0,0,0,3,0,1,0,2,0.031,0.062,0,0.01,0,0,0,0.031,0,0.01,0,0.021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0,0,1,2,1,0,1,0,1,0.061,0.061,0.03,0,0,0.015,0.03,0.015,0,0.015,0,0.015
5,9,1,0,0,1,0,0,0,1,0,0,0.03,0.055,0.006,0,0,0.006,0,0,0,0.006,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,2,0,0,0,1,0,0,0.068,0,0,0,0,0.045,0,0,0,0.023,0
8,2,2,1,3,2,0,0,4,1,0,0,0.041,0.01,0.01,0.005,0.015,0.01,0,0,0.02,0.005,0,0
1,3,3,0,0,1,1,1,0,0,0,1,0.018,0.053,0.053,0,0,0.018,0.018,0.018,0,0,0,0.018
1,0,1,0,0,1,0,0,0,1,0,0,0.043,0,0.043,0,0,0.043,0,0,0,0.043,0,0
3,3,1,2,0,0,0,0,0,0,0,1,0.048,0.048,0.016,0.032,0,0,0,0,0,0,0,0.016
2,2,0,0,0,0,0,1,0,0,0,1,0.038,0.038,0,0,0,0,0,0.019,0,0,0,0.019
0,4,1,0,1,0,1,0,0,0,0,1,0,0.071,0.018,0,0.018,0,0.018,0,0,0,0,0.018
7,4,0,1,0,0,1,0,3,0,1,0,0.063,0.036,0,0.009,0,0,0.009,0,0.027,0,0.009,0
21,24,8,1,8,1,2,3,4,2,1,0,0.034,0.039,0.013,0.002,0.013,0.002,0.003,0.005,0.006,0.003,0.002,0
4,7,0,1,3,0,2,1,2,1,0,1,0.027,0.048,0,0.007,0.021,0,0.014,0.007,0.014,0.007,0,0.007
6,10,3,5,0,6,2,2,0,2,1,0,0.026,0.044,0.013,0.022,0,0.026,0.009,0.009,0,0.009,0.004,0
3,1,2,0,0,0,0,0,0,1,0,0,0.077,0.026,0.051,0,0,0,0,0,0,0.026,0,0
5,3,0,2,1,2,3,0,0,0,0,4,0.041,0.025,0,0.016,0.008,0.016,0.025,0,0,0,0,0.033
3,3,0,0,1,0,1,1,0,0,0,1,0.048,0.048,0,0,0.016,0,0.016,0.016,0,0,0,0.016
2,2,0,1,0,2,1,1,0,0,0,0,0.041,0.041,0,0.02,0,0.041,0.02,0.02,0,0,0,0
3,1,0,0,0,0,0,1,0,0,0,1,0.058,0.019,0,0,0,0,0,0.019,0,0,0,0.019
1,1,0,0,0,0,0,0,0,2,0,0,0.014,0.014,0,0,0,0,0,0,0,0.027,0,0
2,2,1,0,2,1,0,4,0,0,0,0,0.018,0.018,0.009,0,0.018,0.009,0,0.035,0,0,0,0
1,6,1,0,0,0,0,0,0,0,1,0,0.014,0.087,0.014,0,0,0,0,0,0,0,0.014,0
0,1,0,1,0,5,1,1,0,0,0,0,0,0.01,0,0.01,0,0.048,0.01,0.01,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0.019,0.037,0,0,0,0,0,0,0,0,0,0
2,2,2,2,0,1,0,1,0,1,0,0,0.026,0.026,0.026,0.026,0,0.013,0,0.013,0,0.013,0,0
7,2,2,0,5,0,1,0,0,0,0,2,0.053,0.015,0.015,0,0.038,0,0.008,0,0,0,0,0.015
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2,3,0,1,1,1,0,0,1,0,0,2,0.021,0.032,0,0.011,0.011,0.011,0,0,0.011,0,0,0.021
4,8,0,0,2,4,0,0,0,0,0,1,0.035,0.07,0,0,0.017,0.035,0,0,0,0,0,0.009
1,1,1,1,0,2,0,1,0,0,0,0,0.02,0.02,0.02,0.02,0,0.04,0,0.02,0,0,0,0
1,2,0,0,0,0,1,0,0,0,0,0,0.026,0.053,0,0,0,0,0.026,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0.067,0,0,0,0.033,0,0,0,0,0,0,0
3,1,1,0,1,1,2,1,0,1,0,0,0.041,0.014,0.014,0,0.014,0.014,0.027,0.014,0,0.014,0,0
4,3,1,0,1,0,0,1,0,0,0,1,0.05,0.038,0.012,0,0.012,0,0,0.012,0,0,0,0.012
2,1,0,0,1,0,0,0,0,0,0,0,0.05,0.025,0,0,0.025,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,1,0.061,0,0,0,0,0.03,0,0,0,0,0,0.03
9,3,1,0,0,0,2,1,0,0,0,1,0.05,0.017,0.006,0,0,0,0.011,0.006,0,0,0,0.006
1,6,2,0,0,3,0,2,1,1,1,0,0.015,0.088,0.029,0,0,0.044,0,0.029,0.015,0.015,0.015,0
2,5,2,1,0,1,2,0,0,0,0,0,0.023,0.058,0.023,0.012,0,0.012,0.023,0,0,0,0,0
4,4,0,0,2,0,1,0,0,0,0,0,0.038,0.038,0,0,0.019,0,0.01,0,0,0,0,0
1,2,0,0,2,0,0,0,1,0,0,0,0.02,0.04,0,0,0.04,0,0,0,0.02,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0.049,0.049,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,1,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0.05,0
14,9,1,0,1,3,1,5,0,2,0,1,0.044,0.029,0.003,0,0.003,0.01,0.003,0.016,0,0.006,0,0.003
3,2,1,0,0,1,1,0,0,2,0,0,0.051,0.034,0.017,0,0,0.017,0.017,0,0,0.034,0,0
6,3,8,0,0,1,2,3,2,0,0,0,0.025,0.012,0.033,0,0,0.004,0.008,0.012,0.008,0,0,0
6,4,2,1,0,4,2,0,1,1,1,2,0.057,0.038,0.019,0.01,0,0.038,0.019,0,0.01,0.01,0.01,0.019
8,4,0,1,1,2,0,0,2,0,1,0,0.064,0.032,0,0.008,0.008,0.016,0,0,0.016,0,0.008,0
3,0,1,0,0,0,0,0,0,1,1,0,0.075,0,0.025,0,0,0,0,0,0,0.025,0.025,0
9,9,4,2,2,1,1,0,3,2,0,1,0.04,0.04,0.018,0.009,0.009,0.004,0.004,0,0.013,0.009,0,0.004
2,3,0,0,1,0,0,0,0,0,0,0,0.023,0.034,0,0,0.011,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,1,1,0,0,0.02,0.02,0,0.02,0.02,0.02,0,0,0.02,0.02,0,0
4,3,0,0,0,0,1,0,0,2,0,0,0.062,0.046,0,0,0,0,0.015,0,0,0.031,0,0
2,0,0,0,0,1,1,1,1,0,0,0,0.067,0,0,0,0,0.033,0.033,0.033,0.033,0,0,0
1,0,2,0,0,0,1,1,0,0,0,0,0.045,0,0.091,0,0,0,0.045,0.045,0,0,0,0
15,5,1,2,2,2,2,0,3,0,0,5,0.061,0.02,0.004,0.008,0.008,0.008,0.008,0,0.012,0,0,0.02
3,4,0,0,1,1,1,0,0,1,0,0,0.05,0.067,0,0,0.017,0.017,0.017,0,0,0.017,0,0
2,1,3,0,1,0,0,0,1,1,0,0,0.024,0.012,0.036,0,0.012,0,0,0,0.012,0.012,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,2,0,2,1,1,2,0,2,2,1,0.056,0.032,0.008,0,0.008,0.004,0.004,0.008,0,0.008,0.008,0.004
2,2,1,1,1,2,1,1,1,1,0,0,0.024,0.024,0.012,0.012,0.012,0.024,0.012,0.012,0.012,0.012,0,0
2,0,0,0,0,0,0,2,0,0,1,0,0.069,0,0,0,0,0,0,0.069,0,0,0.034,0
2,4,0,0,0,1,1,0,0,0,0,0,0.031,0.062,0,0,0,0.016,0.016,0,0,0,0,0
3,3,1,0,0,3,0,3,1,0,0,0,0.024,0.024,0.008,0,0,0.024,0,0.024,0.008,0,0,0
3,4,2,0,0,2,1,0,1,2,0,2,0.02,0.026,0.013,0,0,0.013,0.007,0,0.007,0.013,0,0.013
3,1,0,0,3,1,1,0,0,0,0,0,0.056,0.019,0,0,0.056,0.019,0.019,0,0,0,0,0
2,1,1,0,0,0,0,2,2,1,0,0,0.033,0.017,0.017,0,0,0,0,0.033,0.033,0.017,0,0
1,4,0,1,0,2,1,2,0,0,0,0,0.013,0.052,0,0.013,0,0.026,0.013,0.026,0,0,0,0
5,2,3,1,3,1,1,1,1,0,1,1,0.037,0.015,0.022,0.007,0.022,0.007,0.007,0.007,0.007,0,0.007,0.007
2,3,0,0,0,0,0,0,0,0,0,0,0.045,0.068,0,0,0,0,0,0,0,0,0,0
4,2,1,2,0,2,0,0,0,0,2,0,0.044,0.022,0.011,0.022,0,0.022,0,0,0,0,0.022,0
8,11,4,2,6,1,2,1,1,3,2,4,0.025,0.034,0.012,0.006,0.019,0.003,0.006,0.003,0.003,0.009,0.006,0.012
4,4,0,0,0,0,0,1,0,0,0,2,0.041,0.041,0,0,0,0,0,0.01,0,0,0,0.02
1,2,1,0,0,2,2,2,0,0,0,0,0.015,0.031,0.015,0,0,0.031,0.031,0.031,0,0,0,0
13,10,6,7,2,10,1,8,1,1,0,1,0.031,0.024,0.014,0.016,0.005,0.024,0.002,0.019,0.002,0.002,0,0.002
3,4,0,2,2,0,1,3,0,1,0,2,0.025,0.034,0,0.017,0.017,0,0.008,0.025,0,0.008,0,0.017
9,17,3,5,5,7,7,4,4,2,0,1,0.02,0.038,0.007,0.011,0.011,0.016,0.016,0.009,0.009,0.004,0,0.002
16,12,2,1,11,2,2,4,1,3,0,1,0.039,0.029,0.005,0.002,0.027,0.005,0.005,0.01,0.002,0.007,0,0.002
2,3,2,0,0,0,0,0,0,1,0,1,0.03,0.045,0.03,0,0,0,0,0,0,0.015,0,0.015
7,5,4,1,0,1,0,1,1,1,0,0,0.044,0.031,0.025,0.006,0,0.006,0,0.006,0.006,0.006,0,0
0,1,1,0,1,1,1,1,0,0,0,0,0,0.026,0.026,0,0.026,0.026,0.026,0.026,0,0,0,0
2,3,1,0,0,0,0,0,0,0,0,0,0.035,0.053,0.018,0,0,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0.03,0.03,0.015,0,0,0,0,0,0,0,0,0
8,2,3,2,3,5,3,1,0,2,1,0,0.055,0.014,0.021,0.014,0.021,0.034,0.021,0.007,0,0.014,0.007,0
3,2,0,0,0,0,0,1,0,0,0,0,0.091,0.061,0,0,0,0,0,0.03,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0.042,0.042,0,0,0,0.042,0,0,0,0,0,0
7,0,0,3,0,0,1,0,1,1,0,1,0.077,0,0,0.033,0,0,0.011,0,0.011,0.011,0,0.011
4,2,0,2,0,1,0,0,0,2,0,3,0.037,0.019,0,0.019,0,0.009,0,0,0,0.019,0,0.028
1,4,3,0,1,0,0,1,0,2,0,0,0.011,0.044,0.033,0,0.011,0,0,0.011,0,0.022,0,0
