"id","userReviewSeries","userReviewOnlyContent","userRatingSeries","userRatingValue","businessReplied","businessReplyContent","userReviewContent","LowAvgHighCost","businessType","cityState","friends","reviews","photos","eliteStatus","userName","Date","userBusinessPhotos","userCheckIns","weekday","the","and","for.","have","that","they","this","you","not","but","good","with","the_ratios","and_ratios","for_ratios","have_ratios","that_ratios","they_ratios","this_ratios","you_ratios","not_ratios","but_ratios","good_ratios","with_ratios","maxVote","votedRating","Rating","finalPrediction","CorrectPrediction","actualRatingValue"
108,"mostRecentVisit_review"," saw my family and I for the first time today. The office upon walking in was very inviting. It has nice, relaxing music playing in the background and the staff was there to greet me with a smile. I felt at home immediately. Jamie took me back and assisted the Doctor with taking me for X-rays and placing me in the room. She was very professional and made me feel very comfortable. I didn't realize how tense my body has been and how stressed out I really was. DOCTOR adjustment me and I felt immediate relief. He also adjusted my 12 year old son. My Son reported immediate relief as well. He adjusted my Husband and my Husband has said that he doesn't know why he hasn't come sooner.  I highly recommend everyone to give this office a try and see what they can do for you in terms of stress relief, pain relief and overall wellness. It's amazing what one adjustment can do. I will be back on a regular basis.","mostRecentVisit_rating",5,"no",NA,"3/20/2017
 saw my family and I for the first time today. The office upon walking in was very inviting. It has nice, relaxing music playing in the background and the staff was there to greet me with a smile. I felt at home immediately. Jamie took me back and assisted the Doctor with taking me for X-rays and placing me in the room. She was very professional and made me feel very comfortable. I didn't realize how tense my body has been and how stressed out I really was. DOCTOR adjustment me and I felt immediate relief. He also adjusted my 12 year old son. My Son reported immediate relief as well. He adjusted my Husband and my Husband has said that he doesn't know why he hasn't come sooner.  I highly recommend everyone to give this office a try and see what they can do for you in terms of stress relief, pain relief and overall wellness. It's amazing what one adjustment can do. I will be back on a regular basis.","Avg","chiropractic","Las Vegas, NV",49,104,38,NA,"SELINA H.","2017-03-20",NA,NA,"Fri",6,10,3,0,1,1,1,1,0,0,0,2,0.031,0.052,0.016,0,0.005,0.005,0.005,0.005,0,0,0,0.01,10,5,"5","5",1,"rating 5"
109,"mostRecentVisit_review","Just had another great adjustment at ! DOCTOR and DOCTOR are so intuitive and effective in their treatments, and both being handsome doesn't hurt!  This is one of my fav places to business in Corona. The staff is absolutely  professional but so friendly and helpful. The massage therapists are really good, and the environment is very relaxing and spa-like. I have even made friends with some of the other patients because everyone that goes here is happy!","mostRecentVisit_rating",5,"no",NA,"4/9/2016
Just had another great adjustment at ! DOCTOR and DOCTOR are so intuitive and effective in their treatments, and both being handsome doesn't hurt!  This is one of my fav places to business in Corona. The staff is absolutely  professional but so friendly and helpful. The massage therapists are really good, and the environment is very relaxing and spa-like. I have even made friends with some of the other patients because everyone that goes here is happy!","Avg","chiropractic","Corona, CA",105,21,2,NA,"Tara G.","2016-04-09",NA,NA,"Mon",4,6,0,1,1,0,1,0,0,1,1,1,0.046,0.069,0,0.011,0.011,0,0.011,0,0,0.011,0.011,0.011,9,5,"5","5",1,"rating 5"
11,"mostRecentVisit_review","I got my first one hour full body message yesterday by Becky! It was absolutely amazing. I'm already looking forward to my next one! 5stars all the way around.","mostRecentVisit_rating",5,"no",NA,"4/2/2019
I got my first one hour full body message yesterday by Becky! It was absolutely amazing. I'm already looking forward to my next one! 5stars all the way around.","Avg","chiropractic","Corona, CA",13,54,102,NA,"Veronica R.","2019-04-02",NA,NA,"Mon",1,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,4,1,"tie","3",0,"rating 5"
110,"mostRecentVisit_review","Great place for chiropractic and any kind of physical therapy. Kaiser cash patients get a discount!   I'm in the health and wellness field and this place is doing everything right. Look no further, this is your place.","mostRecentVisit_rating",5,"no",NA,"4/23/2016
Great place for chiropractic and any kind of physical therapy. Kaiser cash patients get a discount!   I'm in the health and wellness field and this place is doing everything right. Look no further, this is your place.","Avg","chiropractic","Walnut, CA",16,9,NA,NA,"Lisa L.","2016-04-23",NA,NA,"Mon",1,3,1,0,0,0,2,0,0,0,0,0,0.023,0.068,0.023,0,0,0,0.045,0,0,0,0,0,7,5,"5","5",1,"rating 5"
111,"mostRecentVisit_review","Went to  for acupuncture as I was past due in my pregnancy and heard acupuncture could help induce labor. I was scheduled for medical induction in a week and wanted to avoid it. My appointment went well, about 22 needles at my first appointment. From the second needle on the baby started moving so I could tell that he knew the right triggerpoints. I ended up making a second appointment two days later. I went into labor that night. The only reason for a one star knock off was even by my second appointment they hadn't looked into my insurance benefits. And now it's been two weeks later and I still haven't heard from them re if my insurance covered anything. Not a huge deal because the appointments were affordable but from a customer service standpoint I had to point that out.","mostRecentVisit_rating",4,"no",NA,"10/28/2015
Went to  for acupuncture as I was past due in my pregnancy and heard acupuncture could help induce labor. I was scheduled for medical induction in a week and wanted to avoid it. My appointment went well, about 22 needles at my first appointment. From the second needle on the baby started moving so I could tell that he knew the right triggerpoints. I ended up making a second appointment two days later. I went into labor that night. The only reason for a one star knock off was even by my second appointment they hadn't looked into my insurance benefits. And now it's been two weeks later and I still haven't heard from them re if my insurance covered anything. Not a huge deal because the appointments were affordable but from a customer service standpoint I had to point that out.","Avg","chiropractic","Corona, CA",42,110,5,NA,"Elizabeth D.","2015-10-28",NA,NA,"Sat",5,4,3,0,3,1,0,0,1,1,0,0,0.032,0.026,0.019,0,0.019,0.006,0,0,0.006,0.006,0,0,7,5,"5","5",0,"rating 4"
112,"mostRecentVisit_review","I have been coming here for about a year now and see Bertha (who is amazing!). Today I had to call to cancel my appointment and reschedule. Well well... beware of a $","mostRecentVisit_rating",1,"yes","  R. of CHIROPRACTIC Chiropractic Spa

Business Owner

1/8/2018Hello Laura I?m sorry to hear of your experience. Our staff understood when you called that you were canceling a service for later that same day. We do have a same day cancel (less than 24 hours notice) fee for massage appointments and all patients are notified of this in our financial policies paperwork and required to initial understanding of the policy. We understand that unfortunate circumstances can arise from time to time, which is why we waive 1 same day cancellation in a 12 month period at ?no charge?.  

You are correct that there is no charge to cancel or reschedule with advanced notice (more than 24 hours). We have reached out to you a couple of times since Saturday and look forward to clearing this up with you. Our staff has been counseled on how to avoid this type of miscommunication in the future.
","1/6/2018
I have been coming here for about a year now and see Bertha (who is amazing!). Today I had to call to cancel my appointment and reschedule. Well well... beware of a $25 cancellation fee that was never discussed with me beforehand.  I am in the health care industry and have NEVER charged a patient or costumer (more so one who has been in the practice for some time). Love Bertha, but this front office team needs a lesson in costumer service. Unfortunately will not be coming back.

Comment from  R. of CHIROPRACTIC Chiropractic Spa

Business Owner

1/8/2018Hello Laura I?m sorry to hear of your experience. Our staff understood when you called that you were canceling a service for later that same day. We do have a same day cancel (less than 24 hours notice) fee for massage appointments and all patients are notified of this in our financial policies paperwork and required to initial understanding of the policy. We understand that unfortunate circumstances can arise from time to time, which is why we waive 1 same day cancellation in a 12 month period at ?no charge?.  

You are correct that there is no charge to cancel or reschedule with advanced notice (more than 24 hours). We have reached out to you a couple of times since Saturday and look forward to clearing this up with you. Our staff has been counseled on how to avoid this type of miscommunication in the future.
","Avg","chiropractic","Riverside, CA",93,34,13,NA,"Laura R.","2018-01-06",NA,NA,"Fri",0,2,1,1,0,0,0,0,0,0,0,0,0,0.051,0.026,0.026,0,0,0,0,0,0,0,0,7,5,"5","5",0,"rating 1"
113,"twoVisitsPrior_review","It's too bad, I had such a great time here and some bathroom attendant ruined my whole experience!! Just the worst manners and let's just say customer service was not her specialty or even close.
This young girl had some nerve to correct a customer for accidentally missing the trash with some paper from a cinco de mayo mustache.. (jokes) she chases after me to tell me to throw it in the trash I explained half way down the hall I was sorry and had to
LeAve, my friend was sick and need me to tend to her. She then chased me down again and started to harass me to tell her where my friend threw up. Really? Well, maybe she had a bad day.. but after explaining what happen to management and the front office,  Jose, the manager, didn't look too surprised.. I guess this is normal behavior for her.. needless to say I'm almost afraid to go back. I may not hold my tongue next time.. personal space was not In her vocabulary she tapped me on the shoulder, she's lucky i was in a great mood till then..
","twoVisitsPrior_rating",1,"yes"," Amber P. of HIGH END SPA Hot Springs

Business Customer Service

5/8/2018Hi Raven, thank you for taking the time to write a review of your recent visit. I am sorry to hear about your incident in the bath house at the end of your visit. I spoke with Jose and he mentioned you all were a pleasure to have and that after speaking with you about this occurrence, he internally addressed the issue so this wouldn't happen again. We take our guest comments very seriously because guest comments, good and bad, help us to learn and grow. A guest who makes the commitment to reach out and tell us what was not perfect is invaluable to our company. Always feel free to contact me regarding any of your visits or if you ever have any questions or comments.
Best regards, Alexa Gallegos, HIGH END SPA Hot Springs","5/7/2018Previous review
It's too bad, I had such a great time here and some bathroom attendant ruined my whole experience!! Just the worst manners and let's just say customer service was not her specialty or even close.
This young girl had some nerve to correct a customer for accidentally missing the trash with some paper from a cinco de mayo mustache.. (jokes) she chases after me to tell me to throw it in the trash I explained half way down the hall I was sorry and had to
LeAve, my friend was sick and need me to tend to her. She then chased me down again and started to harass me to tell her where my friend threw up. Really? Well, maybe she had a bad day.. but after explaining what happen to management and the front office,  Jose, the manager, didn't look too surprised.. I guess this is normal behavior for her.. needless to say I'm almost afraid to go back. I may not hold my tongue next time.. personal space was not In her vocabulary she tapped me on the shoulder, she's lucky i was in a great mood till then..
Comment from Amber P. of HIGH END SPA Hot Springs

Business Customer Service

5/8/2018Hi Raven, thank you for taking the time to write a review of your recent visit. I am sorry to hear about your incident in the bath house at the end of your visit. I spoke with Jose and he mentioned you all were a pleasure to have and that after speaking with you about this occurrence, he internally addressed the issue so this wouldn't happen again. We take our guest comments very seriously because guest comments, good and bad, help us to learn and grow. A guest who makes the commitment to reach out and tell us what was not perfect is invaluable to our company. Always feel free to contact me regarding any of your visits or if you ever have any questions or comments.
Best regards, Alexa Gallegos, HIGH END SPA Hot Springs","High","high end massage retreat","Rancho Cucamonga, CA",12,12,4,NA,"Raven H.","2018-05-07",NA,NA,"Sat",7,6,2,0,0,0,2,0,3,1,0,1,0.032,0.027,0.009,0,0,0,0.009,0,0.014,0.005,0,0.005,8,5,"5","5",0,"rating 1"
114,"mostRecentVisit_review","I can't say enough great things about CHIROPRACTIC. After dealing with a nerve injury for 5 years complete with constant pain, fainting, and doctors continuously telling me they could not help me, DOCTOR was able to diagnose the problem and put me on the path to living pain free in one visit. His prices are very reasonable, and he is willing to work with the patient to provide the best and most affordable service possible. The staff are all very kind and personable, and make the treatments go quickly. If you are looking for relief, don't go anywhere else.","mostRecentVisit_rating",5,"no",NA,"4/24/2017
I can't say enough great things about CHIROPRACTIC. After dealing with a nerve injury for 5 years complete with constant pain, fainting, and doctors continuously telling me they could not help me, DOCTOR was able to diagnose the problem and put me on the path to living pain free in one visit. His prices are very reasonable, and he is willing to work with the patient to provide the best and most affordable service possible. The staff are all very kind and personable, and make the treatments go quickly. If you are looking for relief, don't go anywhere else.","Avg","chiropractic","Savannah, GA",0,22,6,NA,"Jess M.","2017-04-24",NA,NA,"Tue",6,6,2,0,0,1,0,1,1,0,0,3,0.054,0.054,0.018,0,0,0.009,0,0.009,0.009,0,0,0.027,9,5,"5","5",1,"rating 5"
115,"mostRecentVisit_review","I have been going to CHIROPRACTIC for almost three years for massage and almost a year for chiropractic. Their price for massage is amazing, and the massage itself is really great. I'm a massage therapist, doula and photographer/videographer, so needless to say, I need a lot of work done! DOCTOR and DOCTOR are personable and skilled chiropractors. I always feel comfortable when I'm there, and enjoy the open, light atmosphere that CHIROPRACTIC has created. Update to add: Becky (massage) is amazing!!! She's a seek-and-destroy master!","mostRecentVisit_rating",5,"no",NA,"9/8/2015
I have been going to CHIROPRACTIC for almost three years for massage and almost a year for chiropractic. Their price for massage is amazing, and the massage itself is really great. I'm a massage therapist, doula and photographer/videographer, so needless to say, I need a lot of work done! DOCTOR and DOCTOR are personable and skilled chiropractors. I always feel comfortable when I'm there, and enjoy the open, light atmosphere that CHIROPRACTIC has created. 5 stars!

Update to add: Becky (massage) is amazing!!! She's a seek-and-destroy master!","Avg","chiropractic","Corona, CA",43,9,26,NA,"Amber G.","2015-09-08",NA,NA,"Sun",2,6,4,1,1,0,0,0,0,0,0,0,0.02,0.059,0.039,0.01,0.01,0,0,0,0,0,0,0,7,5,"5","5",1,"rating 5"
116,"mostRecentVisit_review","DOCTOR is the best!!! He and his staff are very professional and courteous. He's the best in Corona for sure!
","mostRecentVisit_rating",5,"no",NA,"5/25/2016
DOCTOR is the best!!! He and his staff are very professional and courteous. He's the best in Corona for sure!
","Avg","chiropractic","Corona, CA",112,15,NA,NA,"Laura C.","2016-05-25",NA,NA,"Wed",2,2,1,0,0,0,0,0,0,0,0,0,0.08,0.08,0.04,0,0,0,0,0,0,0,0,0,6,5,"5","5",1,"rating 5"
117,"mostRecentVisit_review","I have had numerous excellent experiences and treatments at CHIROPRACTIC. Staff is courteous and responsive and have gotten me in quickly.  supported me with fixing lower back issues I thought were not ever going to go away. If only CHIROPRACTIC was in LA! Thank you","mostRecentVisit_rating",5,"no",NA,"5/26/2016
I have had numerous excellent experiences and treatments at CHIROPRACTIC. Staff is courteous and responsive and have gotten me in quickly.  supported me with fixing lower back issues I thought were not ever going to go away. If only CHIROPRACTIC was in LA! Thank you","Avg","chiropractic","Inglewood, CA",353,29,3,NA,"Anna H.","2016-05-26",NA,NA,"Thu",0,3,0,2,0,0,0,0,1,0,0,1,0,0.06,0,0.04,0,0,0,0,0.02,0,0,0.02,7,5,"5","5",1,"rating 5"
118,"mostRecentVisit_review","  is the best chiropractor I've ever seen. I've never waited more than a couple minutes for my appointment and I've always been treated with the highest level of friendliness and professionalism. He is our family chiro, I come for adjustments and my brother and dad come for massages. I love !","mostRecentVisit_rating",5,"no",NA,"5/25/2016
  is the best chiropractor I've ever seen. I've never waited more than a couple minutes for my appointment and I've always been treated with the highest level of friendliness and professionalism. He is our family chiro, I come for adjustments and my brother and dad come for massages. I love !","Avg","chiropractic","Malibu, CA",4,16,3,NA,"Arianna C.","2016-05-25",NA,NA,"Wed",2,4,3,0,0,0,0,0,0,0,0,1,0.035,0.07,0.053,0,0,0,0,0,0,0,0,0.018,7,5,"5","5",1,"rating 5"
119,"mostRecentVisit_review","Love love CHIROPRACTIC !! Every single staff member is friendly and attentive. DOCTOR is the best. He makes you feel comfortable and relaxed. I have been coming here since 2010. I have never had an issues. I recommend it to all my family and friends. 10 Stars","mostRecentVisit_rating",5,"no",NA,"5/25/2016
Love love CHIROPRACTIC !! Every single staff member is friendly and attentive. DOCTOR is the best. He makes you feel comfortable and relaxed. I have been coming here since 2010. I have never had an issues. I recommend it to all my family and friends. 10 Stars","Avg","chiropractic","Corona, CA",81,6,7,NA,"Rosalyna A.","2016-05-25",NA,NA,"Wed",1,3,0,2,0,0,0,1,0,0,0,0,0.018,0.055,0,0.036,0,0,0,0.018,0,0,0,0,7,5,"5","5",1,"rating 5"
